A1 Ion Radius,A2 Ion Radius,A Ion Radius,B ion Radius,X1 Ion Radius,X2 Ion Radius,X3 Ion Radius,X4 Ion Radius,X Ion Radius,t,μ,A1 NumberofProtons,A2 NumberofProtons,B NumberofProtons,X1 NumberofProtons,X2 NumberofProtons,X3 NumberofProtons,X4 NumberofProtons,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,X1 NumberofNeutrons,X2 NumberofNeutrons,X3 NumberofNeutrons,X4 NumberofNeutrons,A1 NumberofShells,A2 NumberofShells,B NumberofShells,X1 NumberofShells,X2 NumberofShells,X3 NumberofShells,X4 NumberofShells,A1 SpecificHeat,A2 SpecificHeat,B SpecificHeat,X1 SpecificHeat,X2 SpecificHeat,X3 SpecificHeat,X4 SpecificHeat,A1 Density,A2 Density,B Density,X1 Density,X2 Density,X3 Density,X4 Density,A1 FirstIonization,A2 FirstIonization,B FirstIonization,X1 FirstIonization,X2 FirstIonization,X3 FirstIonization,X4 FirstIonization,A1 AtomicMass,A2 AtomicMass,B AtomicMass,X1 AtomicMass,X2 AtomicMass,X3 AtomicMass,X4 AtomicMass,A1 MeltingPoint,A2 MeltingPoint,B MeltingPoint,X1 MeltingPoint,X2 MeltingPoint,X3 MeltingPoint,X4 MeltingPoint,Ef (eV)
76,152,114,69,181,181,181,181,181,0.834386002,0.38121547,3,37,50,17,17,17,17,4,48,69,18,18,18,18,2,5,5,3,3,3,3,3.582,0.363,0.228,0.479,0.479,0.479,0.479,0.534,1.53,7.29,0.00321,0.00321,0.00321,0.00321,5.3917,4.1771,7.3439,12.9676,12.9676,12.9676,12.9676,6.941,85.468,118.71,35.453,35.453,35.453,35.453,453.85,312.79,505.21,172.31,172.31,172.31,172.31,-0.512687169
76,167,121.5,69,181,181,181,181,181,0.855599205,0.38121547,3,55,50,17,17,17,17,4,78,69,18,18,18,18,2,6,5,3,3,3,3,3.582,0.242,0.228,0.479,0.479,0.479,0.479,0.534,1.87,7.29,0.00321,0.00321,0.00321,0.00321,5.3917,3.8939,7.3439,12.9676,12.9676,12.9676,12.9676,6.941,132.905,118.71,35.453,35.453,35.453,35.453,453.85,301.7,505.21,172.31,172.31,172.31,172.31,-1.071718293
76,152,114,69,196,196,196,196,196,0.827181518,0.352040816,3,37,50,35,35,35,35,4,48,69,45,45,45,45,2,5,5,4,4,4,4,3.582,0.363,0.228,0.474,0.474,0.474,0.474,0.534,1.53,7.29,3.12,3.12,3.12,3.12,5.3917,4.1771,7.3439,11.8138,11.8138,11.8138,11.8138,6.941,85.468,118.71,79.904,79.904,79.904,79.904,453.85,312.79,505.21,266.05,266.05,266.05,266.05,-0.412366646
76,167,121.5,69,196,196,196,196,196,0.847193974,0.352040816,3,55,50,35,35,35,35,4,78,69,45,45,45,45,2,6,5,4,4,4,4,3.582,0.242,0.228,0.474,0.474,0.474,0.474,0.534,1.87,7.29,3.12,3.12,3.12,3.12,5.3917,3.8939,7.3439,11.8138,11.8138,11.8138,11.8138,6.941,132.905,118.71,79.904,79.904,79.904,79.904,453.85,301.7,505.21,266.05,266.05,266.05,266.05,0.065203911
76,152,114,69,220,220,220,220,220,0.817209913,0.313636364,3,37,50,53,53,53,53,4,48,69,74,74,74,74,2,5,5,5,5,5,5,3.582,0.363,0.228,0.214,0.214,0.214,0.214,0.534,1.53,7.29,4.93,4.93,4.93,4.93,5.3917,4.1771,7.3439,10.4513,10.4513,10.4513,10.4513,6.941,85.468,118.71,126.904,126.904,126.904,126.904,453.85,312.79,505.21,386.65,386.65,386.65,386.65,-0.352300392
76,167,121.5,69,220,220,220,220,220,0.835560435,0.313636364,3,55,50,53,53,53,53,4,78,69,74,74,74,74,2,6,5,5,5,5,5,3.582,0.242,0.228,0.214,0.214,0.214,0.214,0.534,1.87,7.29,4.93,4.93,4.93,4.93,5.3917,3.8939,7.3439,10.4513,10.4513,10.4513,10.4513,6.941,132.905,118.71,126.904,126.904,126.904,126.904,453.85,301.7,505.21,386.65,386.65,386.65,386.65,-0.248007186
76,152,114,119,133,133,133,133,133,0.693076885,0.894736842,3,37,82,9,9,9,9,4,48,125,10,10,10,10,2,5,6,2,2,2,2,3.582,0.363,0.129,0.824,0.824,0.824,0.824,0.534,1.53,11.3,0.0017,0.0017,0.0017,0.0017,5.3917,4.1771,7.4167,17.4228,17.4228,17.4228,17.4228,6.941,85.468,207.2,18.998,18.998,18.998,18.998,453.85,312.79,600.75,53.63,53.63,53.63,53.63,-0.325159057
76,167,121.5,119,133,133,133,133,133,0.714121729,0.894736842,3,55,82,9,9,9,9,4,78,125,10,10,10,10,2,6,6,2,2,2,2,3.582,0.242,0.129,0.824,0.824,0.824,0.824,0.534,1.87,11.3,0.0017,0.0017,0.0017,0.0017,5.3917,3.8939,7.4167,17.4228,17.4228,17.4228,17.4228,6.941,132.905,207.2,18.998,18.998,18.998,18.998,453.85,301.7,600.75,53.63,53.63,53.63,53.63,2.756737665
76,152,114,119,181,181,181,181,181,0.695321668,0.657458564,3,37,82,17,17,17,17,4,48,125,18,18,18,18,2,5,6,3,3,3,3,3.582,0.363,0.129,0.479,0.479,0.479,0.479,0.534,1.53,11.3,0.00321,0.00321,0.00321,0.00321,5.3917,4.1771,7.4167,12.9676,12.9676,12.9676,12.9676,6.941,85.468,207.2,35.453,35.453,35.453,35.453,453.85,312.79,600.75,172.31,172.31,172.31,172.31,-1.240395669
76,167,121.5,119,181,181,181,181,181,0.712999338,0.657458564,3,55,82,17,17,17,17,4,78,125,18,18,18,18,2,6,6,3,3,3,3,3.582,0.242,0.129,0.479,0.479,0.479,0.479,0.534,1.87,11.3,0.00321,0.00321,0.00321,0.00321,5.3917,3.8939,7.4167,12.9676,12.9676,12.9676,12.9676,6.941,132.905,207.2,35.453,35.453,35.453,35.453,453.85,301.7,600.75,172.31,172.31,172.31,172.31,-1.800573793
76,152,114,119,196,196,196,196,196,0.695882864,0.607142857,3,37,82,35,35,35,35,4,48,125,45,45,45,45,2,5,6,4,4,4,4,3.582,0.363,0.129,0.474,0.474,0.474,0.474,0.534,1.53,11.3,3.12,3.12,3.12,3.12,5.3917,4.1771,7.4167,11.8138,11.8138,11.8138,11.8138,6.941,85.468,207.2,79.904,79.904,79.904,79.904,453.85,312.79,600.75,266.05,266.05,266.05,266.05,-0.60588684
76,167,121.5,119,196,196,196,196,196,0.71271874,0.607142857,3,55,82,35,35,35,35,4,78,125,45,45,45,45,2,6,6,4,4,4,4,3.582,0.242,0.129,0.474,0.474,0.474,0.474,0.534,1.87,11.3,3.12,3.12,3.12,3.12,5.3917,3.8939,7.4167,11.8138,11.8138,11.8138,11.8138,6.941,132.905,207.2,79.904,79.904,79.904,79.904,453.85,301.7,600.75,266.05,266.05,266.05,266.05,-0.827772283
